credit_card_id,customer_id,card_type,card_limit,current_balance,last_payment_date,payment_due_date,payment_status,credit_utilization,credit_card_number,bank_name
1,1310,mastercard,500000,236218,2024-11-10,2024-12-10,Pending,0.47,2233453565728760,Yes Bank
2,1310,mastercard,150000,98415,2024-11-03,2024-12-03,Pending,0.66,2680325015298030,Bank of Baroda
3,229,mastercard,20000,9678,2024-06-06,2024-07-06,Paid,0.48,2289966345675190,SBI
4,229,visa,40000,10107,2024-03-13,2024-04-12,Pending,0.25,4493805202340870,Punjab National Bank
5,229,rupay,75000,41507,2024-02-22,2024-03-23,Pending,0.55,62199200000000,HDFC
6,52,mastercard,100000,47175,2024-10-23,2024-11-22,Pending,0.47,2720138314983820,Axis Bank
7,52,visa,20000,6140,2024-04-16,2024-05-16,Pending,0.31,4640719503893970,IDBI Bank
8,1519,mastercard,20000,860,2024-02-15,2024-03-16,Paid,0.04,5346513969662700,Bank of India
9,1519,visa,200000,156773,2024-07-12,2024-08-11,Pending,0.78,4603573737244410,Union Bank of India
10,564,visa,40000,27119,2024-08-08,2024-09-07,Pending,0.68,4694727428053090,SBI
11,564,visa,200000,136604,2024-08-30,2024-09-29,Paid,0.68,4785432293114590,Union Bank of India
12,502,visa,25000,8811,2024-03-22,2024-04-21,Pending,0.35,4452717369729010,IDFC First Bank
13,458,mastercard,25000,2073,2024-10-28,2024-11-27,Paid,0.08,5368395947999210,Central Bank of India
14,458,mastercard,75000,39289,2024-10-15,2024-11-14,Pending,0.52,5320355508460470,SBI
15,458,mastercard,40000,16160,2024-01-13,2024-02-12,Overdue,0.4,2706024878603130,Bajaj Finserv
16,286,visa,100000,14021,2024-01-18,2024-02-17,Paid,0.14,4155330667512490,Indian Bank
17,1509,visa,75000,43544,2024-07-13,2024-08-12,Overdue,0.58,4402680164284060,Union Bank of India
18,1509,mastercard,100000,43874,2024-04-28,2024-05-28,Pending,0.44,2260607868037280,Andhra Bank
19,210,visa,40000,21015,2024-04-15,2024-05-15,Overdue,0.53,4257395199566540,Kotak Mahindra
20,210,mastercard,50000,11641,2024-05-16,2024-06-15,Pending,0.23,2260110957562980,Canara Bank
21,1386,mastercard,400000,364358,2024-09-18,2024-10-18,Overdue,0.91,5274542483948520,Bajaj Finserv
22,1517,visa,50000,24645,2024-08-14,2024-09-13,Pending,0.49,4141904289366580,Union Bank of India
23,1517,mastercard,20000,18476,2024-07-01,2024-07-31,Paid,0.92,2702737407886480,Bank of Maharashtra
24,1117,visa,300000,288410,2024-06-24,2024-07-24,Paid,0.96,4705806364937780,IDBI Bank
25,1117,visa,100000,38185,2024-03-19,2024-04-18,Overdue,0.38,4668120434171850,SBI
26,1117,mastercard,300000,261778,2024-01-27,2024-02-26,Paid,0.87,2283604151740500,Indian Bank
27,179,visa,40000,10101,2024-11-15,2024-12-15,Overdue,0.25,4829533595819030,Central Bank of India
28,179,mastercard,20000,14715,2024-05-29,2024-06-28,Overdue,0.74,2244020386982040,Bajaj Finserv
29,179,rupay,75000,70040,2024-06-12,2024-07-12,Overdue,0.93,62863900000000,Central Bank of India
30,1210,visa,500000,188496,2024-08-17,2024-09-16,Overdue,0.38,4566100885755080,Federal Bank
31,1210,visa,20000,8134,2024-07-18,2024-08-17,Overdue,0.41,4937082788032670,Bank of India
32,1210,visa,300000,23224,2024-09-21,2024-10-21,Overdue,0.08,4766804477388470,Union Bank of India
33,865,mastercard,500000,225682,2024-05-17,2024-06-16,Paid,0.45,2252229966789570,HDFC
34,865,visa,40000,14549,2024-09-05,2024-10-05,Overdue,0.36,4166742355456870,RBL Bank
35,66,visa,100000,49036,2024-09-12,2024-10-12,Pending,0.49,4547876439758520,IDBI Bank
36,66,visa,50000,1609,2024-04-13,2024-05-13,Pending,0.03,4981823228064430,Axis Bank
37,66,mastercard,75000,11253,2024-06-16,2024-07-16,Paid,0.15,2427988517536050,Punjab National Bank
38,62,mastercard,40000,22483,2024-01-09,2024-02-08,Pending,0.56,2384170500386670,Kotak Mahindra
39,62,mastercard,50000,31205,2024-02-09,2024-03-10,Paid,0.62,2271539891236700,IDBI Bank
40,62,mastercard,50000,4402,2024-04-05,2024-05-05,Pending,0.09,2461547590968050,ICICI
41,192,visa,15000,13912,2024-06-29,2024-07-29,Pending,0.93,4548527624928230,Axis Bank
42,192,visa,400000,127880,2024-11-12,2024-12-12,Overdue,0.32,4647727592855670,Bank of Baroda
43,448,visa,50000,36690,2024-03-17,2024-04-16,Pending,0.73,4853344718073550,IDBI Bank
44,477,visa,500000,212361,2024-04-28,2024-05-28,Overdue,0.42,4688377056744990,Bank of Baroda
45,1035,visa,300000,226562,2024-06-02,2024-07-02,Pending,0.76,4535765091145050,HDFC
46,1035,visa,100000,77621,2024-02-03,2024-03-04,Pending,0.78,4126181596535750,Union Bank of India
47,1233,visa,400000,112615,2024-04-04,2024-05-04,Paid,0.28,4331092794912610,IDFC First Bank
48,1233,visa,200000,26673,2024-04-14,2024-05-14,Overdue,0.13,4884800123767220,Bank of Baroda
49,1233,mastercard,50000,12915,2024-04-23,2024-05-23,Pending,0.26,5507648894273030,Axis Bank
50,55,mastercard,300000,256630,2024-05-27,2024-06-26,Overdue,0.86,2712229776540660,Canara Bank
51,1150,mastercard,200000,102903,2024-03-07,2024-04-06,Overdue,0.51,2541424338745730,Axis Bank
52,408,mastercard,50000,30006,2024-11-01,2024-12-01,Overdue,0.6,2719476517935080,Bank of Baroda
53,1467,mastercard,200000,154709,2024-08-10,2024-09-09,Paid,0.77,2228465284679240,Punjab National Bank
54,1467,mastercard,20000,7817,2024-09-03,2024-10-03,Pending,0.39,2715917612190870,Axis Bank
55,1331,visa,50000,45445,2024-07-13,2024-08-12,Paid,0.91,4449242786832950,RBL Bank
56,1437,mastercard,75000,18070,2024-05-14,2024-06-13,Overdue,0.24,5413073840945070,Union Bank of India
57,1566,mastercard,25000,15947,2024-05-22,2024-06-21,Overdue,0.64,2272522501055680,Federal Bank
58,1566,visa,150000,43742,2024-04-05,2024-05-05,Pending,0.29,4744969202219810,Indian Bank
59,860,visa,25000,10308,2024-01-27,2024-02-26,Pending,0.41,4186948579208300,Andhra Bank
60,860,visa,50000,628,2024-04-30,2024-05-30,Pending,0.01,4045661010993590,Punjab National Bank
61,452,visa,75000,73607,2024-06-22,2024-07-22,Overdue,0.98,4374077779075230,Bajaj Finserv
62,452,mastercard,300000,257805,2024-01-22,2024-02-21,Pending,0.86,2290558761313390,IDBI Bank
63,920,mastercard,25000,2708,2024-04-03,2024-05-03,Overdue,0.11,2334772387937290,HDFC
64,1207,visa,40000,2142,2024-08-22,2024-09-21,Pending,0.05,4323720168102110,Yes Bank
65,570,mastercard,25000,14985,2024-06-01,2024-07-01,Overdue,0.6,2564480304762060,Bajaj Finserv
66,570,visa,200000,29938,2024-06-01,2024-07-01,Pending,0.15,4893983641369970,Federal Bank
67,14,mastercard,150000,10907,2024-04-04,2024-05-04,Overdue,0.07,2266245943891910,IDBI Bank
68,14,visa,75000,13423,2024-10-13,2024-11-12,Overdue,0.18,4770246602637770,Yes Bank
69,14,amex,15000,7368,2024-09-07,2024-10-07,Pending,0.49,378699000000000,Bank of India
70,327,visa,100000,15386,2024-09-24,2024-10-24,Paid,0.15,4448309881952650,Kotak Mahindra
71,327,mastercard,400000,319952,2024-07-30,2024-08-29,Overdue,0.8,5322052258752630,Central Bank of India
72,1430,visa,200000,36499,2024-06-19,2024-07-19,Paid,0.18,4338098309745670,Kotak Mahindra
73,866,visa,200000,91964,2024-07-06,2024-08-05,Overdue,0.46,4960677206972560,IDFC First Bank
74,697,visa,50000,46140,2024-09-06,2024-10-06,Pending,0.92,4819577875145280,Indian Bank
75,697,mastercard,150000,24962,2024-03-01,2024-03-31,Paid,0.17,2705343225779340,Central Bank of India
76,1544,visa,40000,8315,2024-04-25,2024-05-25,Overdue,0.21,4656536573505420,Punjab National Bank
77,1544,visa,25000,23310,2024-10-13,2024-11-12,Pending,0.93,4006522972909040,Yes Bank
78,1544,mastercard,100000,18634,2024-04-30,2024-05-30,Overdue,0.19,5355372059774620,IDFC First Bank
79,319,mastercard,75000,59243,2024-02-26,2024-03-27,Paid,0.79,2720839776480510,SBI
80,319,mastercard,150000,72935,2024-10-11,2024-11-10,Overdue,0.49,2720606407781700,Bank of India
81,319,mastercard,100000,42898,2024-03-01,2024-03-31,Overdue,0.43,2334051506517590,HDFC
82,441,visa,400000,240359,2024-07-18,2024-08-17,Overdue,0.6,4494159336495210,Bank of India
83,690,visa,500000,280192,2024-04-20,2024-05-20,Pending,0.56,4256161306785370,Kotak Mahindra
84,690,mastercard,30000,16210,2024-03-10,2024-04-09,Pending,0.54,2239612607753400,Canara Bank
85,690,amex,50000,35868,2024-06-23,2024-07-23,Overdue,0.72,345937000000000,Punjab National Bank
86,1569,mastercard,500000,180218,2024-05-10,2024-06-09,Overdue,0.36,2295228735890320,ICICI
